AuthorID;Author;Date;Content;Attachments;Reactions;
"457001023928795136";"kimmel (Pungo.io)#2275";"16-Sep-18 03:48 PM";"hey @Dyeles yes thats correct 500 usd is the minimum amount, I know there is some small bug on UI about it not fixed yet, but will be soon. thxx";"";"👌 (1)";
"455869040876060672";"Dyeles#8347";"16-Sep-18 04:00 PM";"Thanks for the reply @kimmel (Pungo.io)  @bishop . No problem at my end, it all looks good, but this is why I always test my initial investments. Cheers";"";"Komodo (1)";
"458232283250556930";"Virginia (Peer2Group)#1459";"17-Sep-18 07:18 PM";"https://twitter.com/peer2group/status/1041761045080092672";"";"";
"464378807420452865";"Seko#7408";"18-Sep-18 09:53 AM";"Do you know when the airdrop is? Is there a date? In my next article will be Pungo a part...";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 10:43 AM";"hello @Seko will be announced after sale ends";"";"";
"413339604847034380";"faiz#2211";"18-Sep-18 12:44 PM";"i already submit for ambasador program";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 01:22 PM";"nice to see you around @faiz";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 01:24 PM";"By the way forgot to comment but we are searching testers to test our fiat gateway for south america and china. Would appreciate and add a tip if someone could help us check how payments work, if any fees are charged to sent amounts etc";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 01:24 PM";"please contact me directly if you might be able to help";"";"";
"143629520971366400";"hastrup#8742";"18-Sep-18 01:47 PM";"i was able to buy flawless thanks!!  how do you become PAYMENT PROCESSING SERVICE i se that crypto.com i having a relly hard time to delivier";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 02:04 PM";"thanks for your trust @hastrup we have different plans, we hope to be able to push them forward after the sale ends";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 02:07 PM";"payment processing service can be done in many countries, we have some places in mind where it seems likely; however we will need some backing to advance steadily on our plans. As you know we are releasing different products, depending on the amount raised we will need to rely on our products revenue also to fund our expansion 😃";"";"";
"143629520971366400";"hastrup#8742";"18-Sep-18 02:26 PM";"Ok thx I'm looking forward to see you advancements in the field I'm selling out of my mco holding because you give me my privat key so thx to you for giving me the power to controle my own money and the ability to buy a tomato whit them 😁";"";"🍅 (1)";
"413339604847034380";"faiz#2211";"18-Sep-18 03:03 PM";"@kimmel (Pungo.io) im not citizen from US or china";"";"👍 (1)";
"143629520971366400";"hastrup#8742";"18-Sep-18 03:51 PM";"I'm a little confused. The buy back fund that gives 0,50 usd back. So if I give 1 btc for x amount of pgt and the price on btc goes to the roof . Can I buy back my btc for the same price?";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 03:52 PM";"let me try to explain. Revenue from our products goes to FUND. Right?";"";"";
"143629520971366400";"hastrup#8742";"18-Sep-18 03:52 PM";"Yes";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 03:52 PM";"this FUNDS can only be used to Buyback Pungo tokens";"";"";
"143629520971366400";"hastrup#8742";"18-Sep-18 03:52 PM";"Yes";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 03:53 PM";"so you can sell PGT on any exchange that supports them...or come to us and we will buy them back with the funds accumulated in the FUND.";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"18-Sep-18 03:54 PM";"So for example, if we accumulate crypto in the FUND, and the value of this crypto is 10 million USD

it means that we can buy back to any one who requests to do so, at 1 USD/PGT";"";"";
